Clube;Milhões de Euros (Transfermarkt)
Flamengo;212.30
Palmeiras;186.45
Botafogo;157.25
Corinthians;114.45
Internacional;113.40
Atlético-MG;100.10
Bahia;99.70
Grêmio;94.80
Cruzeiro;87.85
São Paulo;86.90
Vasco;86.70
Bragantino;82.20
Santos;79.05
Fluminense;72.65
Fortaleza;48.05
Sport;35.95
Vitória;32.55
Ceará;30.00
Juventude;21.00
Mirassol;19.03
