Clube;Milhões de Euros (Transfermarkt)
Flamengo;193.10
Atlético-MG;138.40
Botafogo;126.43
Palmeiras;120.50
São Paulo;112.18
Grêmio;99.98
Corinthians;99.95
Santos;94.20
Fluminense;77.70
Internacional;77.15
Bragantino;75.85
Vasco;72.85
Bahia;70.50
Cruzeiro;62.75
Coritiba;58.33
Athletico-PR;57.73
Fortaleza;45.33
América-MG;34.18
Goiás;27.83
Cuiabá;21.38
