Clube;Milhões de Euros (Transfermarkt)
Flamengo;214.15
Palmeiras;153.10
Corinthians;145.50
Botafogo;131.43
Atlético-MG;131.35
Internacional;123.23
São Paulo;113.75
Vasco;106.95
Cruzeiro;101.68
Fluminense;98.95
Grêmio;87.00
Bahia;76.95
Bragantino;74.25
Athletico-PR;64.60
Fortaleza;45.05
Atlético-GO;32.60
Criciúma;31.00
Vitória;31.00
Cuiabá;23.48
Juventude;21.60
